moqui.basic.LocalizedMessage,seed
zh,"NOTE: for accounting and other traceability record equipment purchase using a purchase order, incoming shipment, and payable invoice; this form is for existing or third party equipment",注意：如果需要进行财务核算或设备采购的追溯，请使用采购订单、进货和应付发票。 此功能仅用于现有或第三方设备
zh,NOTE: For invoices with no Due Date specified try running the report by Invoice Date.,注意：对于未指定到期日的发票，请尝试按发票日期运行报告。
zh,NOTE: only receive inventory here if there is no Purchase Order and no Incoming Shipment for the inventory.,注意: 你应该在没有采购订单或者入库单的时候使用此功能。
zh,NOTE: this should only be used to correct data as it rewrites the accounting history for this asset. Do not use to change ownership for a business transaction like a sale.,注意：这应该仅用于更正数据，因为它会重写此资产的会计历史记录。 不要用于更改销售等商业交易的所有权。
zh,None,无
zh,Name,名称
zh,Name On Account,账户姓名
zh,Name Prefix,名称前缀
zh,Namibia,纳米比亚
zh,Nauru,瑙鲁
zh,Need Qty,需要数量
zh,Needs Validation,需要校验
zh,Nepal,尼泊尔
zh,Net Book Value,帐面净值
zh,Net Income History,净收入历史
zh,Net Income Year Over Year,年度净收入
zh,Net Product,净产品
zh,Netherlands,荷兰
zh,Netherlands Antilles,荷属安的列斯
zh,New,新
zh,New %,新%
zh,New Address,新地址
zh,New Agreement,新合同
zh,New Budget,新预算
zh,New Caledonia,新喀里多尼亚
zh,New Category,新分类
zh,New Child Task,新子任务
zh,New Consumable Shipment,新领用出库单
zh,New Contact,新建
zh,New Credit Card,添加信用卡
zh,New Credit Memo,新付款通知
zh,New Cust,新客户
zh,New Customer,新客户
zh,New Customer Count,新客户数量
zh,New Customer Percent,新客户百分比
zh,New Drop Shipment,新直运出库单
zh,New Email,新邮箱
zh,New Employee,新员工
zh,New Equipment,新建设备
zh,New Event,新事件
zh,New Facility,新设施
zh,New Feature Group,新特征组
zh,New Financial Account,新金融账户
zh,New GL Account,新总账科目
zh,New HTML Content,新HTML内容
zh,New ID,新ID
zh,New Incoming Payment,新收入付款单
zh,New Incoming Shipment,新建入库单
zh,New Journal,新日记账
zh,New Lead and Organization,新线索与组织
zh,New Lend Return Shipment,新借用归还入库单
zh,New Lend Shipment,新借用出库单
zh,New Location,新位置
zh,New Meter Reading,新仪表读数
zh,New Name,新名字
zh,New Organization,新组织
zh,New Organization Supplier,新组织供应商
zh,New Outgoing Payment,新建支出付款单
zh,New Outgoing Shipment,新建出库单
zh,New Password,新密码
zh,New Password Verify,重复新密码
zh,New Password and New Password Verify do not match,两次录入的新密码不匹配
zh,New Payable,新应付
zh,New Payment Gateway,新支付网关
zh,New Payment for Invoice,新付款单
zh,New Permission,新权限
zh,New Person,新个人
zh,New Person Customer,新建个人客户
zh,New Person Supplier,新个人供应商
zh,New Phone,新电话
zh,New Picklist,新拣货单
zh,New Price,新价格
zh,New Product,新建产品
zh,New Production Run,新建生产订单
zh,New Project,新项目
zh,New Purchase Return Shipment,新采购退货出库单
zh,New Purchase Shipment,新采购入库单
zh,New Receivable,新应收
zh,New Registration,新注册
zh,New Relationship,新关系
zh,New Rental Return Shipment,新租赁归还入库单
zh,New Rental Shipment,新租赁出库单
zh,New Request,新审批
zh,New Request Item,新审批条目
zh,New Sales Account,新建客户
zh,New Sales Contact,新建联系人
zh,New Sales Opportunity,新销售机会
zh,New Sales Order,新销售订单
zh,New Sales Return Shipment,新销售退货入库单
zh,New Sales Shipment,新销售出库单
zh,New Shipping Gateway,新运输网关
zh,New Space,新空间
zh,New Store,新店铺
zh,New Store Email,新店铺邮件
zh,New Store Facility,新店铺设施
zh,New Store Party,新店铺参与者
zh,New Store Promotion,新促销
zh,New Survey,新调查
zh,New Task,新任务
zh,New Task for Request,新任务为审批
zh,New Transaction,新建凭证
zh,New Transfer Shipment,新建调拨单
zh,New Zealand,新西兰
zh,New by Location,新内容按位置
zh,New password is same as current password,新密码不能与当前密码一致
zh,Next,下一步
zh,Nicaragua,尼加拉瓜
zh,Niger,尼日尔
zh,Nigeria,尼日利亚
zh,Ningxia,宁夏回族自治区
zh,Niue,纽埃
zh,No ${storeFolder} folder found,找不到邮件主机上的文件夹${storeFolder}
zh,No Customer Selected,未选择客户
zh,No EmailServer found for ID [${emailServerId}],找不到对应ID为${emailServerId}的EmailServer记录
zh,No EmailServer record found for EmailTemplate [${emailTemplateId}],邮件模板EmailTemplate[${emailTemplateId}]中定义的邮件服务器未定义
zh,No EmailTemplate record found for ID [${emailTemplateId}],邮件模板记录EmailTemplate[${emailTemplateId}]未定义
zh,No Location,没有位置
zh,No Location Asset,不在库位的资产
zh,No Order or Primary email found,没发现订单邮箱或者主邮箱
zh,No Parent,无父条目
zh,No Results Skip,无结果跳过
zh,No locations or containers found for product,没有在位置或容器中找到产品
zh,No product found in location,在库位为发现商品
zh,No account found for username ${username},用户名或者密码错误。${username}
zh,No find parameters,choose some to save a new find or update existing
zh,"No find parameters (or default), choose some in Find Options to save a new find or update existing",没有查询参数或者默认查询，点击查询选项并保存一个新的查询，或者跟新一个存在的查处。
zh,"No find parameters, choose some to save a new find or update existing",没有查找变量，先选择查找变量进行保存或者更新现有的
zh,No origin shipping address selected,没有选择配送地址
zh,No results found,未找到记录
zh,"No search implementation installed, not indexing DataDocuments (see the moqui-elasticsearch component)",搜索模块未安装，无法索引DataDcouments(请先安装moqui-elasticsearch模块)
zh,"No search implementation installed, not indexing Wiki Space Pages (see the moqui-elasticsearch component)",搜索模块未安装，无法索引WiKi页面(请先安装moqui-elasticsearch模块)
zh,"No search implementation installed, not putting DataDocument mappings (see the moqui-elasticsearch component)",搜索模块未安装，无法映射DataDcouments(请先安装moqui-elasticsearch模块)
zh,"No search implementation installed, not searching DataDocuments (see the moqui-elasticsearch component)",搜索模块未安装，无法搜索DataDocuments(请先安装moqui-elasticsearch模块)
zh,"No search implementation installed, not searching DataDocuments by source (see the moqui-elasticsearch component)",搜索模块未安装，无法按源数据搜索DataDocuments(请先安装moqui-elasticsearch模块)
zh,No shipment method selected,没有设置配送方法
zh,No shipping address selected,没有设置配送地址
zh,Norfolk Island,诺福克岛
zh,Northern Mariana Islands,北马里亚纳群岛
zh,Norway,挪威
zh,Not,不
zh,Not Avail,不可用
zh,Not Billed,未开票
zh,Not Issued,未发货
zh,Not Invoiced,未开票
zh,Not Shipped/Billed,未发送/开票
zh,"Not all items are received, item quantities will be reduced to received quantities.",不是所有的条目都已收到，条目数量将被减少到已收到的数量。
zh,Not all packages have Labels,不是所有的包裹都有标签
zh,Not all packages have Tracking Codes,不是所有的包裹都有追踪码
zh,"Not looking for child directory at [${relativePath}] under space root page [${location}] because exists, isFile, etc are not supported","因不支持 exists, isFile等等，未进行在根页面[${location}]下的目录[${relativePath}]查找子目录"
zh,"Not looking for child file at [${relativePath}] under space root page [${location}] because exists, isFile, etc are not supported","因不支持 exists, isFile,等等，未进行在根页面[${location}]下的目录[${relativePath}]查找子文件"
zh,Not yet placed,还未下定
zh,Notes,备注
zh,Notifications,通知
zh,Notified,通知
zh,Notifs?,接收通知？
zh,Number,号码
zh,Number Specified,指定数字
zh,OR Customer Account,或客户金融账户
zh,OR Instrument,或支付工具
zh,OR Interval UOM,或间隔UOM
zh,Offset,偏离
zh,Old,旧
zh,Old Addresses,旧邮寄地址
zh,Old Password,旧邮寄地址
zh,Oman,阿曼
zh,On Hand,在手
zh,On Hand Report,在手报告
zh,On Hand Summary,在手概要
zh,On Hold - ${pstats.taskCountByStatusMap.WeOnHold?:0},暂停 - ${pstats.taskCountByStatusMap.WeOnHold?:0}
zh,Only Cost Matches PO Amount,只看成本与采购金额相等的
zh,Only No Cost,只看无成本
zh,Only No Location,只看无库位
zh,Only Not Rec,只看未对账
zh,Only Partly Shipped,只看部分发货
zh,Only Recurring,只看循环订单
zh,Only Remaining,只看剩余
zh,Only count Product,只看产品订单
zh,Opened,开始
zh,Operate,运营
zh,Operating Revenue and Expense,营业收入和费用
zh,Operation,操作
zh,Operator,操作员
zh,Opportunity ID,机会ID
zh,Opportunity Name,机会名称
zh,Opportunity Stage ID,机会阶段
zh,Order,订单
zh,Order #${orderId},订单#${orderId}
zh,Order ${orderId},订单${orderId}
zh,Order Amt,订单金额
zh,Order By,排序次序
zh,Order Clerk,订单文员
zh,Order Count,订单数量
zh,Order Detail,订单详情
zh,Order Discount Percent,订单折扣百分比
zh,Order Display ID,订单显示ID
zh,Order Header,订单头
zh,Order ID,订单ID
zh,Order IDs,订单ID
zh,Order Issued and Invoiced,已出货与已开票订单
zh,Order Item,订单条目
zh,Order Item Summary,订单条目概要
zh,Order Name,订单名称
zh,Order Net Product,净产品销售额
zh,Order Notes,订单备注
zh,Order PDF,订单PDF
zh,Order Part,拆单
zh,Order Qty,订单数量
zh,"Order Part ${orderPartInfo.orderPart.orderPartSeqId} Facility ${ec.resource.expand('FacilityNameTemplate', null, orderPartInfo.facility)}","拆单 ${orderPartInfo.orderPart.orderPartSeqId} 仓库 ${ec.resource.expand('FacilityNameTemplate', null, orderPartInfo.facility)}"
zh,Order Parties,订单参与人
zh,Order Party ID,订单参与人ID
zh,Order Product Sales,产品销售额
zh,Order Quantity,产品数量
zh,Order Role Type ID,订单角色类型ID
zh,Order Sent,订单发送
zh,Order Ship By,承运方
zh,Order Source,订单渠道来源
zh,Order Type,订单类型
zh,Order is not in Approved status,订单未被批准
zh,OrderApproveCurrencyDifferent,付款单的货币${payment.amountUomId}与订单的货币${orderHeader.currencyUomId}不一致
zh,OrderApproveNearOrder,"发现相同的订单${nearOrder.orderId}:${nearOrder.orderPartSeqId}。下单时间：${ec.l10n.format(nearOrder.placedDate, null)} (${ec.l10n.format(diffHours, '0.0')}h ${isFuture ? 'after' : 'before'})，数量： ${ec.l10n.format(nearItem.quantity, '0.##')} 产品 ${nearItem.productId}"
zh,OrderApproveNewCustomer,客户${firstOrderPart.customerPartyId}是新客户
zh,OrderApprovePartNoCustomer,拆单${orderPart.orderPartSeqId}没有客户
zh,OrderApprovePartNoVendor,拆单${orderPart.orderPartSeqId}没有供应商
zh,OrderApprovePaymentAuthorizedLow,"验证金额或后续付款总额${ec.l10n.formatCurrency(totalAuthorized, orderHeader.currencyUomId)}少于订单总额${ec.l10n.formatCurrency(orderHeader.grandTotal, orderHeader.currencyUomId)}"
zh,OrderApprovePaymentPromisedLow,"承诺金额或以后付款总额${ec.l10n.formatCurrency(totalPromised, orderHeader.currencyUomId)}少于订单总额${ec.l10n.formatCurrency(orderHeader.grandTotal, orderHeader.currencyUomId)}"
zh,OrderApproveShippingAddressTrust,"拆单${orderPart.orderPartSeqId} 配送地址 ${postalCm.address1}, ${postalCm.postalCode ?: '-'} 可信度为 ${trustLevelEnum.description}"
zh,OrderApproveStoreManualApprove,店铺设置为需要手动批准
zh,OrderDetailConfirmCloseOrder,确定关闭订单吗? 如果没有条目被配送了，订单将会被取消。 如果订单条目已经被配送了一部分，那么订单条目数量将被修改为已配送的数量，订单将被设置为完成。
zh,OrderDetailConfirmClosePart,确定要关闭拆单吗? 如果没有条目被配送了，拆单将会被取消。 如果拆单条目已经被配送了一部分，那么拆单条目数量将被修改为已配送的数量，拆单将被设置为完成。
zh,OrderDetailItemBilled,"已开帐单数量${returnableOut.isProductItemType ? ec.l10n.format(returnableOut.invoiceQuantity, '#,##0.###') : ec.l10n.format(returnableOut.invoiceTotal, '#,##0.00')}"
zh,OrderDetailItemReturnable,"可退货数量:${returnableOut.isProductItemType ? ec.l10n.format(returnableOut.returnableQuantity, '#,##0.###') : ec.l10n.format(returnableOut.returnableTotal, '#,##0.00')}"
zh,OrderDetailItemReturned,"已退货数量:${returnableOut.isProductItemType ? ec.l10n.format(returnableOut.returnedQuantity, '#,##0.###') : ec.l10n.format(returnableOut.returnedTotal, '#,##0.00')}"
zh,OrderDetailPartPaymentIncomplete,"付款单金额 (${ec.l10n.formatCurrency(orderPartInfo.paymentsTotal ?: 0.0, orderHeader?.currencyUomId)}) 小于拆单总额 (${ec.l10n.formatCurrency(orderPartInfo.orderPart.partTotal ?: 0.0, orderHeader?.currencyUomId)})"
zh,OrderInventoryInsufficient,"只有 ${ec.l10n.format(availableToPromiseTotal, '#,##0')} ${product?.productName ?: productId} 可售"
zh,OrderInventoryNotAvailable,${product?.productName ?: productId} 没有库存
zh,OrderPlaceNoItems,订单没有条目
zh,OrderPlacePartNoCustomer,拆单${orderPart.orderPartSeqId}没有客户
zh,OrderPlacePartNoShippingAddress,拆单${orderPart.orderPartSeqId}没有设置配送地址
zh,OrderPlacePartNoShippingMethod,拆单${orderPart.orderPartSeqId}没有配送方法
zh,OrderPlacePartNoVendor,拆单${orderPart.orderPartSeqId}没有供应商
zh,OrderPlacePartPaymentIncomplete,"拆单${orderPart.orderPartSeqId}的付款金额(${ec.l10n.formatCurrency(paymentsTotal ?: 0.0, (String) orderHeader?.currencyUomId)})小于拆单的总金额 (${ec.l10n.formatCurrency(orderPart.partTotal ?: 0.0, (String) orderHeader?.currencyUomId)})"
zh,Orders,订单
zh,Orders per Pick,每单订单数
zh,Orders to Be Picked,可拣货订单
zh,Org,组织
zh,Org Settings,组织设置
zh,Organization Name,组织名称
zh,Organizer,组织者
zh,Orig. ETA,原始预估
zh,Origin Address,原地址
zh,Origin Facility,发货仓
zh,Origin or Dest Facility,源或目的设施
zh,Original Currency,原货币类型
zh,Original Currency Amount,原货币金额
zh,Original Invoice ID,原始账单ID
zh,Original Payment,原始付款单
zh,Original PDF,原始PDF
zh,Other Computer Related Services,其他计算机相关服务
zh,Other ID,其他ID
zh,Other IDs,其他ID
zh,Other Invc,其他账单
zh,Other Issuances,其他的出库
zh,Other Parties,其他参与者
zh,Other Party,其他参与者
zh,Other Party Order Date,其他当事人订单日期
zh,Other Party Order ID,其他当事人订单ID
zh,Other Party Product ID,第三方产品ID
zh,Other Pmnt,其他付款单
zh,Other Receipts,其他入库
zh,Other Role,其他角色
zh,Outgoing,出去的
zh,Outgoing Refund Payments,支出退款
zh,Outgoing Shipments,出库单
zh,Output,输出
zh,Override (Cash) GL Account,覆盖（现金）科目
zh,Override GL Account,覆盖GL科目
zh,Owned By Org,拥有者
zh,Owner,拥有者
zh,Owner Org,拥有者
zh,Owner Party,拥有者
zh,Owner Party ID,拥有者ID
zh,P-CB Gap,P-CB差距
zh,PDF,PDF
zh,PK 1,主键1
zh,PK 2,主键2
zh,PK Rest,其他主键
zh,Pkg Quantity,包裹数量
zh,Pkg Weight,包裹重量
zh,POP Commerce Admin,POP Commerce管理
zh,Pack,打包
zh,Pack Completed,打包完成
zh,Pack Date,装箱日期
zh,Pack Item,打包条目
zh,Pack Quantity,装箱数
zh,Pack Qty,装箱数
zh,Pack Screen,装箱
zh,Pack Shipment,包装运单
zh,Pack Shipment ${shipmentId},包装运单${shipmentId}
zh,Pack Shipment - Items,包装运单 - 条目
zh,Pack Shipment - Packages,包装运单 - 包装
zh,Pack/Issue Item,装箱/分发条目
zh,Pack/Issue Items,装箱/分发条目
zh,Package,包装箱
zh,Package ${shipmentPackage.shipmentPackageSeqId},包装箱${shipmentPackage.shipmentPackageSeqId}
zh,Package Tracking,包裹追踪
zh,Packages,包装箱
zh,Packed Date,打包日期
zh,Packed/Issued,已装箱/已发货
zh,"Packed/Issued: ${ec.l10n.format(sid.quantityTotal ?: 0, '#.##')}, Remaining: ${ec.l10n.format(quantityPackRemaining, '#.##')}  (Unit: ${productUom?.description ?: 'N/A'})","已装箱/已发货: ${ec.l10n.format(sid.quantityTotal ?: 0, '#.##')}, 剩余: ${ec.l10n.format(quantityPackRemaining, '#.##')}  (单位: ${productUom?.description ?: 'N/A'})"
zh,Packer,打包人
zh,Page,页面
zh,Page #,页 #
zh,Page History,页面历史
zh,Page Layout,页面布局
zh,Page Name,页面名称
zh,Page Tree,页面树
zh,Paid %,已付%
zh,Paid Amount,已付金额
zh,Paid Percent,已支付发票百分比
zh,Pakistan,巴基斯坦
zh,Palau,帕劳
zh,"Palestinian Territory, Occupied",巴勒斯坦领土，被占领
zh,Panama,巴拿马
zh,Papua New Guinea,巴布亚新几内亚
zh,Paraguay,巴拉圭
zh,Parent,父
zh,Parent Account,父账户
zh,Parent Categories,父分类
zh,Parent Facility,父设施
zh,Parent Item,父条目
zh,Parent Order,父订单
zh,Parent Path,父路径
zh,Parent Sales Account,父公司
zh,Parent Task,父任务
zh,Part,拆单
zh,Part/Item,拆单/条目
zh,Part Status,拆单状态
zh,Part Total,拆单总额
zh,Partial,部分
zh,Partial/None,部分/无
zh,Parties,参与方
zh,Parties Assigned,指派人
zh,Party ID,参与方ID
zh,"Party has no user accounts and no email address, cannot search for email messages",参与方没有账号或者邮件地址，找不到邮件消息。
zh,Password,密码
zh,Password incorrect for username ${username},用户名或者密码错误。${username}
zh,Password needs ${minDigits} digit/number characters,密码需要至少${minDigits}位数字字符
zh,Password needs ${minOthers} other characters (not letter or digit),密码需要至少${minOthers}位其它字符(非字母或数字)
zh,Password Set Date,密码设置日期
zh,Password shorter than ${minLength} characters,密码不能少于${minLength}个字符
zh,Password updated for user ${userAccount.username},用户账号${userAccount.username}密码已更新
zh,Password Verify,重复密码
zh,Password was used in last ${historyLimit} passwords,密码已在前${historyLimit}次使用过
zh,Path ${dirname} is not a directory.,路径${dirname}必须是个目录
zh,Path ${path} is not a directory.,路径${path}必须是个目录
zh,Paused,已暂停
zh,Payable,应付
zh,Payable <strong>Invoices</strong>,应付<strong>发票</strong>
zh,"Payable Invoice ${invoiceId} for ${ec.resource.expand('PartyNameTemplate', null, organizationParty)}","${ec.resource.expand('PartyNameTemplate', null, organizationParty)}应付账单票"
zh,Payable Return Invoices,应付退货账单
zh,Payable by Due Date,应付账单按过期日期
zh,Payable by Invoice Date,应付账单按账单日期
zh,Payment Applications,核销
zh,Payment Gateway,支付网关
zh,Payment Gateways,支付网关
zh,Payment ID,付款单ID
zh,Payment Information,付款信息
zh,Payment Instrument,支付方式
zh,Payment Instruments,支付方式
zh,Payment Method,付款方式
zh,Payment Method Details,付款方式详情
zh,Payment Methods,付款方式
zh,Payment Status,付款状态
zh,Payment Terms,付款条件
zh,Payment Type,支付类型
zh,Payment Types,付款单类型
zh,Payments,付款
zh,Payments From,进款
zh,Payments From (${fromPaymentCount}),进款
zh,Payments To,出款
zh,Payments To (${toPaymentCount}),付款单(${toPaymentCount})
zh,Payments associated with this shipment through order or invoice will not be changed,通过订单或发票与此货件相关的付款将不会更改
zh,Payroll Other Payee,工资单 其他收款人
zh,PayrollPayeeInvoiceItemDescription,${payeeAdjustment.description} for ${partyDetail.firstName?:''} ${partyDetail.lastName?:''}${partyDetail.organizationName?:''} SSN ${partySsn?.idValue ?: 'N/A'} Ref ${payeeAdjustment.payeeReference ?: 'N/A'}
zh,People,人员
zh,People Assigned,指派人员
zh,Performed By,执行人
zh,Period,周期
zh,Period Days,期间天数
zh,Period Name,期间名称
zh,Period Num,期间编号
zh,Periods,周期
zh,Permission ID,权限ID
zh,Permissions,权限
zh,Peru,秘鲁
zh,PhI Diff,调差
zh,PhI Qty,调整
zh,Philippines,菲律宾
zh,Phone (for SMS),手机号码
zh,Phone Numbers,电话
zh,Phone Purpose,电话用途
zh,"Phone, Email, and Other",电话，邮箱等
zh,Phys. Inv. ID,库存盘点ID
zh,Physical Diff,库存差异
zh,Physical Inventory,库存盘点
zh,Physical Inventory Adjustments,库存调整
zh,Physical Inventory Date,库存盘点日期
zh,Physical Inventory Difference,库存差异
zh,Physical Inventory ID,库存盘点ID
zh,Physical Inventory Quantity,库存调整
zh,Physical Quantity,实际数量
zh,PhysicalInventoryTitle,盘点记录
zh,Pick,拣货
zh,Pick${pickContainer ? ' and Move to Container ' + (pickContainer.serialNumber ?: pickContainer.containerId) : ''},拣货${pickContainer ? '并移动到容器' + (pickContainer.serialNumber ?: pickContainer.containerId) : ''}
zh,Pick & Move to Container,拣货并移动到容器
zh,Pick Bin #,拣货箱#
zh,Pick Container,拣货箱/托盘
zh,Pick Loc Qty,拣货库位数量
zh,Pick Location Moves,选择位置移动
zh,Pick Location(s),拣货位置
zh,Pick Locations,拣货位置
zh,Pick Moves Needed,移位拣货
zh,Picker,选择器
zh,Picklist,拣货
zh,Picklist PDF,拣货PDF
zh,Picklist and Pack PDF,拣货与打包PDF
zh,Picklists,拣货单
zh,Pickup Date,拣货日期
zh,Piece Count,计件
zh,Pitcairn,皮特凯恩
zh,Place,下定
zh,Place Order Anyway,仍然下定
zh,Place Warnings,警告下定
zh,Placed,下定时间
zh,Placed Date,下定日期
zh,Planned Maintenance,计划的维护
zh,Please select a Facility,请选择一个设施
zh,Please select a report,请选择一个报表
zh,Pmt Ref,付款单参考
zh,Poland,波兰
zh,Pool,池
zh,Pools,仓库池
zh,Portugal,葡萄牙
zh,Position,位置
zh,Position Class,职位
zh,Postal,邮编
zh,Postal Addresses,邮寄地址
zh,Posted,已过账
zh,Posted Amount,过账金额
zh,Posted Amount Summary,过账金额概要
zh,Posted Balance Summary,过账余额概要
zh,Posted Date,过账日期
zh,Posted Debits,借记
zh,Posted Credits,贷记
zh,Pre-Paid Percent,预付发票百分比
zh,Preferences,偏好
zh,Previous,前
zh,Pri,优先级
zh,Price,价格
zh,Price History,价格历史
zh,Prices,价格
zh,Primary Entity,主实体
zh,Print,打印
zh,Print Jobs,打印任务
zh,Printer List,打印机列表
zh,Printer Name,打印机名称
zh,Printers,打印
zh,Priority,优先级
zh,Priority:,优先级:
zh,Process Item Responses,处理条目响应
zh,Process Gateway Refund,处理网关退款
zh,Prod ID,产品ID
zh,Produce Asset,产出资产
zh,Produced by Production Run,生产计划产量
zh,Product Category,产品分类
zh,Product Class,产品分类
zh,Product Count,产品数
zh,Product ID,产品ID
zh,Product Issued,产品出货数量
zh,Product List,产品列表
zh,Product Owner,产品拥有人
zh,Product Quantity,产品数量
zh,Product Sold,产品已售数量
zh,Product Store,店铺
zh,Product Store ID,店铺ID
zh,Product Type,产品类型
zh,"Product and Facility are required. If no Location, Lot, Owner, Pool, or Status is selected only assets with no value will be included in the currently recorded quantity and only assets with no value will be adjusted.",产品和设施是必需的。 如果没有选择位置、批次、所有者、池或状态，则当前记录的数量中将只包含没有价值的资产，并且只会调整没有价值的资产。
zh,Product to Produce,生产产品
zh,Product*,产品*
zh,ProductStoreTitle,店铺管理
zh,ProductTitle,产品
zh,Production Manager,产品经理
zh,Production Runs,生产订单
zh,Production Worker,生产工人
zh,Products,产品查询
zh,Products to Consume,预计消耗的产品
zh,Products to Produce,预计产出的产品
zh,Profile Url Path,客户资料URL
zh,"Profit ${ec.l10n.formatCurrency(pstats.actualProfit, project.costUomId, 2)}","利润${ec.l10n.formatCurrency(pstats.actualProfit, project.costUomId, 2)}"
zh,Programmer,程序员
zh,Programmer Lead,程序员领导
zh,Progress,进度
zh,Project:,项目:
zh,Project Client Invoice,项目的客户账单
zh,Project ID,项目ID
zh,Project Manager,专案经理
zh,Project Milestones,项目里程碑
zh,Project Name,项目名称
zh,Project Summary,项目概要
zh,Project Worker Invoice,项目的工人账单
zh,ProjectTitle,项目管理
zh,Projects,项目
zh,Promised Order Payments,承诺的订单付款单
zh,Promo Code,促销代码
zh,Promo Codes,促销代码
zh,Promo Expires,促销过期日
zh,Promos,计算促销
zh,Promotion,促销
zh,Promotions,促销
zh,Propose Quote,建议报价
zh,Prospect,展望
zh,"Provider Cost ${ec.l10n.formatCurrency(project.actualCost, project.costUomId, 2)}","供应商报价${ec.l10n.formatCurrency(project.actualCost, project.costUomId, 2)}"
zh,Pseudo ID,伪ID
zh,Public Attachment,公共附件
zh,Public Attachment Url,公共附件URL
zh,Public Blog,公共博客
zh,Public Blog Url,公共博客URL
zh,Public Page,公共页面
zh,Public Page Url,公共页面URL
zh,Publish Date,发布日期
zh,Publish Version ${versionName.take(12)},发布版本${versionName.take(12)}
zh,Puerto Rico,波多黎各
zh,Purchase <strong>Orders</strong> &amp; Quotes,采购<strong>订单</strong>与报价
zh,Purchase <strong>Requests</strong>,采购<strong>请求</strong>
zh,Purchase <strong>Shipments</strong>,采购<strong>运单</strong>
zh,Purchase Invoices,应付发票
zh,Purchase Item Type,采购明细类型
zh,Purchase Orders,采购订单
zh,Purchase Requests,采购请求
zh,Purchase Return Shipment List,采购退货出库单列表
zh,Purchase Returns,采购退货
zh,Purchase Shipment List,采购入库单列表
zh,PurchaseOrderTitle,采购管理
zh,Purpose,用途
zh,Purpose:,用途:
zh,Purposes,用途
zh,QOH,在手
zh,QOH Diff,QOH变化
zh,Qatar,卡塔尔
zh,Qinghai,青海省
zh,Qty,数量
zh,Qty Not Avail,数量不足
zh,Qty Not Shipped,未发货数量
zh,Qty Shipped,已发货数量
zh,Quality Analyst,质量分析师
zh,Quality Lead,质量领先
zh,Quantity,数量
zh,Quantity Accepted,接收数量
zh,Quantity Difference,数量差
zh,Quantity History,数量历史
zh,Quantity Not Handled,未处理数量
zh,Quantity On Hand,在手数量
zh,Quantity Reason,数量原因
zh,Quantity Rejected,拒绝数量
zh,Quantity Total,总数量
zh,Quantity w/BOM Total,数量w/BOM总数
zh,Quantity*,数量*
zh,Quarter,季度
zh,Query Stats,查询统计
zh,Quick Add Items,创建账单
zh,Quick Aging,快速账龄
zh,Quick Items,快速条目
zh,Quick Lookup,快速查找
zh,Quick Search,快速查询
zh,Quote Requested,报价请求
zh,Rate Amount,单价
zh,Rate Type,单价类型
zh,Rates,单价
zh,Rates Modified,单价是否被修改
zh,Re-Calc Prices,重新算价
zh,Re-Init Elastic,重新初始化Elastic
zh,Re-post Invoice,重新过账账单
zh,Re-post Payment and Applications,重新过账付款单应用
zh,Read By,读表人
zh,Reading Date,读日期
zh,Ready Date,准备日期
zh,Really blacklist this address?,确定要加入黑名单吗？
zh,Really greylist this address?,确定要加入灰名单吗？
zh,Really hold order part?,确定要挂起拆单吗？
zh,Reason,原因
zh,Receipt Transactions,入库凭证
zh,Receivable,应收
zh,Receivable <strong>Invoices</strong>,应收<strong>账单</strong>
zh,"Receivable Invoice ${invoiceId} for ${ec.resource.expand('PartyNameTemplate', null, organizationParty)}","${ec.resource.expand('PartyNameTemplate', null, organizationParty)}的应收账单"
zh,Receivable Return Invoices,应收退货账单
zh,Receivable by Due Date,应收按到期日期
zh,Receivable by Invoice Date,应收按账单日期
zh,Receive,接收
zh,Receive Accepted,接收
zh,Receive Direct,直接入库
zh,Receive Entire Shipment,全部接收
zh,Receive Non-serialized Inventory Direct,非序列化产品入库
zh,Receive Notifications,接收提醒
zh,Receive Product,接收产品
zh,Receive Serialized Inventory Direct,序列化产品入库
zh,Receive without Shipment,无入库单接收
zh,Received Date,接收日期
zh,Received From,入库开始日期
zh,Received Incoming Payments,已收到的收入付款
zh,Received Outgoing Payments,已收到的支出付款
zh,Received Quantity,已收到数量
zh,Received Thru,入库截止日期
zh,Receiver,接收者
zh,Recent Asset Moves,最近移动的资产
zh,Recent Container Moves,最近移动的容器
zh,Recent Detail History,最近详细历史
zh,Recent Paid Payables,最近到账应付款
zh,Recent Paid Receivables,最近到账应收款
zh,Record,记录
zh,Record Credit Memo,记录贷项凭证
zh,Record Time,记录时间
zh,Recur Schedule,循环周期
zh,Recurring,循环
zh,Release Date Time,释放时间
zh,Release Now,立即释放
zh,Last Ordered Date,上一次订购日期
zh,Auto Delete,自动删除
zh,Auto Invoice,自动创建发票
zh,Auto Screen,自动屏幕
zh,Auto Screens,自动屏幕
zh,Last Ordered Date will be updated over time as recurring Order Clones are created.,随着重复克隆订单的创建，上次订购日期将随着时间的推移而更新。
zh,IPs Allowed,允许IP
zh,If Last Ordered Date is empty the next Order Clone will be created with the next batch.,如果上次订购日期为空，则将使用下一批创建下一个订单克隆。
zh,"To not create the next Order Clone until the scheduled time, set this to now or any time since the last scheduled time.",要在预定时间之前不创建下一个订单克隆，请将其设置为现在或自上次预定时间以来的任何时间。
zh,Ref,参考
zh,Ref Num,参考代码
zh,Ref/Check,参考
