moqui.basic.LocalizedMessage,seed
zh,Create Credit Card,新建信用卡
zh,Create Customer Return,创建客户退货
zh,Create Expense Invoice,创建费用账单
zh,Create First Period,创建第一个期间
zh,Create Invoice,创建账单
zh,Create Lot,创建批次
zh,Create Milestone,创建里程碑
zh,Create Nest,创建下一个
zh,Create Next,创建下一个
zh,Create new order based on this one?,是要基于此订单创建一个新订单吗？
zh,Create Page,创建页面
zh,Create Payment,创建付款单
zh,Create Physical Inventory,创建库存盘点
zh,Create Picklists,创建拣货单
zh,Create Pool,创建池
zh,Create Printer,创建打印机
zh,Create Purchase Order,创建采购订单
zh,Create Rate Amount,创建单价
zh,Create Report,创建报表
zh,Create Refund,创建退款
zh,Create Refund Payment,创建退款单
zh,Create Return,创建退货单
zh,Create Return Shipment,创建退货运单
zh,Create Sales Order,创建销售订单
zh,Create Shipment,创建运单
zh,Create Space,创建空间
zh,Create Supplier Return,创建供应商退货
zh,Create Team,创建团队
zh,Create User,创建用户
zh,Create User Account,创建账户
zh,Create User Group,创建用户组
zh,Create Variants,创建变体
zh,Created Date,创建日期
zh,Credit Account,退款账户
zh,Credit Limit,信用额度
zh,Credit Memo Invoice,红字发票
zh,Credit Memo Invoice #${invoiceId},红字发票#${invoiceId}
zh,Credits,贷
zh,Croatia (local Name: Hrvatska),克罗地亚（当地名称：Hrvatska）
zh,Cron Expression,Cron表达式
zh,Cuba,古巴
zh,Cur Qty,当前数量
zh,Cur Total,当前合计
zh,Current,当前
zh,Current Assets and Liabilities,流动资产和负债
zh,Current Depreciation,当前折旧
zh,Current Location,当前位置
zh,Current PDF,当前PDF
zh,Current Purchase Orders,当前采购订单
zh,Current Sales Orders,当前销售订单
zh,Current Search Conditions,当前查找条件
zh,Current Search String,当前检索条件
zh,Current Status:${statusItem?.description ?: ''},当前状态:${statusItem?.description ?: ''}
zh,Current password incorrect for user ${username},当前用户${username}密码错误
zh,Custom Computer Programming Services,定制计算机编程服务
zh,Custom Reports,定制报表
zh,Customer - Bill To,客户 - 收款人
zh,Customer - End User,客户 - 最终用户
zh,Customer - Placing,客户 - 配售
zh,Customer - Ship To,客户 - 运送至
zh,Customer <strong>Payments</strong>,客户<strong>付款单</strong>
zh,Customer <strong>Requests</strong>,客户<strong>请求</strong>
zh,Customer Class,客户类型
zh,Customer Classes,客户类型
zh,Customer Credit Memos,客户红字发票
zh,Customer Data,客户数据
zh,Customer Details,客户详情
zh,Customer Email,客户邮箱
zh,Customer ID,客户ID
zh,Customer Info,客户信息
zh,Customer List,客户列表
zh,Customer Name,客户名称
zh,Customer Notes,客户备注
zh,Customer Org,客户
zh,Customer Payments,客户付款单
zh,Customer Promo Code,客户促销代码
zh,Customer Requests,客户请求
zh,Customer Return Shipments,客户退货入库单
zh,Customer Role,客户角色
zh,Customer Statement PDF,客户对账单PDF
zh,CustomerTitle,客户管理
zh,Customers,客户
zh,Cyprus,塞浦路斯
